"","id","date","sample","Case","SampleType","shannon","faith_pd","Timepoint","Timepoint2","InvSimpson","ObservedSpecies"
"1","AMS004","8/4/2018","M-A-0.3","A","soil",8.412242164,31.44618997,"8/4","Aug",274.256460263286,443
"2","AMS006","8/4/2018","M-A-0.5","A","ears",1.655183291,3.640097668,"8/4","Aug",2.47796265214691,10
"3","AMS007","8/4/2018","M-A-0.6","A","nose",3.437837521,10.89890282,"8/4","Aug",4.62490005077112,86
"4","AMS008","8/4/2018","M-A-0.7","A","mouth",5.046193087,7.937316546,"8/4","Aug",16.8665034988624,111
"5","AMS031","8/4/2018","M-B-0.5","B","ears",4.307463551,10.74519851,"8/4","Aug",17.4455118513177,170
"6","AMS032","8/4/2018","M-B-0.6","B","nose",0.606764943,3.259119668,"8/4","Aug",21.0105613088179,117
"7","AMS033","8/4/2018","M-B-0.7","B","mouth",2.851537466,6.739852646,"8/4","Aug",12.1980970968529,121
"8","AMS034","8/4/2018","M-B-0.8","B","rectum",3.534721982,4.710323139,"8/4","Aug",13.3495109629151,117
"9","AMS010","9/1/2018","M-A-6.1","A","rightthigh",5.206171626,12.85258389,"9/1","Sep",33.4746708324035,162
"10","AMS013","9/1/2018","M-A-6.4","A","eyes",5.191013882,6.822730353,"9/1","Sep",20.478934003222,114
"11","AMS014","9/1/2018","M-A-6.5","A","ears",4.673284838,8.271823094,"9/1","Sep",22.4398611720589,245
"12","AMS015","9/1/2018","M-A-6.6","A","nose",4.642155487,9.30459536,"9/1","Sep",20.5368796721401,108
"13","AMS016","9/1/2018","M-A-6.7","A","mouth",5.842239632,13.99258563,"9/1","Sep",12.371440118106,147
"14","AMS017","9/1/2018","M-A-6.8","A","rectum",5.17704528,8.881812955,"9/1","Sep",1.30414747879311,37
"15","AMS035","9/1/2018","M-B-6.1","B","rightthigh",5.172040808,9.418328021,"9/1","Sep",5.71394469155492,109
"16","AMS038","9/1/2018","M-B-6.4","B","eyes",3.910733097,5.636965643,"9/1","Sep",20.2625121012225,178
"17","AMS039","9/1/2018","M-B-6.5","B","ears",3.264721159,4.467881617,"9/1","Sep",7.36593989393046,112
"18","AMS040","9/1/2018","M-B-6.6","B","nose",4.728512628,5.831983558,"9/1","Sep",1.17180694975266,17
"19","AMS041","9/1/2018","M-B-6.7","B","mouth",4.028403091,4.852780073,"9/1","Sep",4.52210858889109,26
"20","AMS042","9/1/2018","M-B-6.8","B","rectum",3.805316861,6.386603054,"9/1","Sep",7.99464181339795,34
"21","AMS018","11/17/2018","M-A-11.1","A","leftthigh",6.08615899,17.23672992,"11/17","Nov",19.8349730244367,127
"22","AMS021","11/17/2018","M-A-11.4","A","eyes",5.053930402,7.195781618,"11/17","Nov",8.50237310680492,79
"23","AMS022","11/17/2018","M-A-11.5","A","ears",4.966193337,10.02793968,"11/17","Nov",4.96876852936597,59
"24","AMS023","11/17/2018","M-A-11.6","A","nose",1.071548674,3.74211501,"11/17","Nov",15.3745759179476,79
"25","AMS024","11/17/2018","M-A-11.7","A","mouth",4.095699314,8.503731043,"11/17","Nov",10.7077081221535,59
"26","AMS025","11/17/2018","M-A-11.8","A","rectum",5.517752666,14.2901012,"11/17","Nov",7.52523462009271,49
"27","AMS043","11/17/2018","M-B-11.1","B","leftthigh",6.000955283,11.45504392,"11/17","Nov",36.6894684918998,172
"28","AMS046","11/17/2018","M-B-11.4","B","eyes",4.835783659,6.565019396,"11/17","Nov",15.7896398909462,105
"29","AMS047","11/17/2018","M-B-11.5","B","ears",2.508491958,6.626865169,"11/17","Nov",1.98770274568006,104
"30","AMS048","11/17/2018","M-B-11.6","B","nose",5.744170643,12.39659318,"11/17","Nov",27.3719297818761,188
"31","AMS049","11/17/2018","M-B-11.7","B","mouth",4.203514454,5.638056063,"11/17","Nov",10.1810876116526,81
"32","AMS050","11/17/2018","M-B-11.8","B","rectum",4.567528037,6.864976489,"11/17","Nov",12.21031038609,72
